date, countryA, countryB
2019-12-23, China, USA
2019-12-23, China, USA
2019-12-23, China, USA
2019-12-23, China, USA
2019-12-25, China, USA
2019-12-25, China, USA
2020-01-22, China, USA
2020-01-22, China, USA
2020-01-22, China, Singapore
2020-01-22, China, Singapore
2020-02-15, Singapore, Spain
2020-02-15, Singapore, Spain
2020-02-15, Singapore, Spain
2019-12-29, China, Spain
2019-12-29, China, Spain
2019-12-29, China, Spain
2019-12-29, China, Australia
2019-12-29, China, Australia
2019-12-29, China, Taiwan
2019-12-29, China, Taiwan
2020-01-28, China, United Kingdom
2020-01-28, China, United Kingdom
2020-01-28, China, United Kingdom
2020-01-28, China, United Kingdom
2020-01-28, China, United Kingdom
2020-01-28, China, United Kingdom
2020-01-18, China, Hong Kong
2020-01-18, China, Hong Kong
2020-01-30, China, India
2020-01-30, China, India
2020-01-21, China, USA
2020-01-21, China, USA
2020-01-18, China, South Korea
2020-01-18, China, South Korea
2020-01-20, China, South Korea
2020-01-20, China, South Korea
2020-01-25, South Korea, China
2020-01-25, South Korea, China
2020-01-13, China, South Korea
2020-01-13, China, South Korea
2020-01-20, China, South Korea
2020-01-20, China, South Korea
2020-01-25, China, South Korea
2020-01-25, China, South Korea
2020-01-20, China, South Korea
2020-01-20, China, South Korea
2020-01-28, China, South Korea
2020-01-28, China, South Korea
2020-01-22, China, South Korea
2020-01-22, China, South Korea
2020-01-07, China, Australia
2020-01-07, China, Australia
2020-01-07, China, Japan
2020-01-07, China, Japan
2020-02-10, China, USA
2020-02-10, China, USA
2020-01-22, China, United Arab Emirates
2020-01-22, China, United Arab Emirates
2020-01-22, China, Germany
2020-01-22, China, Germany
2020-01-13, China, Saudi Arabia
2020-01-13, China, Saudi Arabia
2020-03-18, Saudi Arabia, Turkey
2020-03-18, Saudi Arabia, Turkey
2020-01-16, China, Australia
2020-01-16, China, Australia
2020-01-25, China, Australia
2020-01-25, China, Australia
2020-01-22, China, Australia
2020-01-22, China, Australia
2020-01-25, Australia, USA
2020-01-25, Australia, USA
2020-02-24, USA, Netherlands
2020-02-24, USA, Netherlands
2020-02-24, USA, Netherlands
2020-01-25, China, Ghana
2020-01-25, China, Ghana
2020-01-25, China, Ghana
2020-01-28, China, Australia
2020-01-28, China, Australia
2020-03-12, Ghana, Senegal
2020-03-12, Ghana, Senegal
2020-02-05, China, USA
2020-02-05, China, USA
2020-01-26, China, USA
2020-01-26, China, USA
2020-02-02, China, Australia
2020-02-02, China, Australia
2020-02-02, China, Singapore
2020-02-02, China, Singapore
2020-03-10, USA, Australia
2020-03-10, USA, Australia
2020-03-02, USA, Democratic Republic of the Congo
2020-03-02, USA, Democratic Republic of the Congo
2020-03-02, USA, Democratic Republic of the Congo
2020-03-15, USA, Senegal
2020-03-15, USA, Senegal
2020-03-15, USA, Ghana
2020-03-15, USA, Ghana
2020-03-15, USA, Russia
2020-03-15, USA, Russia
2020-01-07, China, India
2020-01-07, China, India
2020-03-08, India, New Zealand
2020-03-08, India, New Zealand
2020-01-13, China, Vietnam
2020-01-13, China, Vietnam
2020-01-13, China, Hong Kong
2020-01-13, China, Hong Kong
2020-01-22, China, USA
2020-01-22, China, USA
2020-01-22, China, Vietnam
2020-01-22, China, Vietnam
2020-01-22, China, Vietnam
2020-01-22, China, Vietnam
2020-01-18, China, South Korea
2020-01-18, China, South Korea
2020-01-26, China, USA
2020-01-26, China, USA
2020-01-28, China, USA
2020-01-28, China, USA
2020-03-04, USA, Australia
2020-03-04, USA, Australia
2020-03-04, USA, Australia
2020-03-04, USA, Australia
2020-03-07, USA, Australia
2020-03-07, USA, Australia
2020-03-16, USA, Australia
2020-03-16, USA, Australia
2020-03-14, USA, New Zealand
2020-03-14, USA, New Zealand
2020-03-09, USA, United Kingdom
2020-03-09, USA, United Kingdom
2020-03-16, USA, Taiwan
2020-03-16, USA, Taiwan
2020-01-20, China, USA
2020-01-20, China, USA
2020-01-22, China, Taiwan
2020-01-22, China, Taiwan
2020-01-22, China, Australia
2020-01-22, China, Australia
2020-01-30, China, Taiwan
2020-01-30, China, Taiwan
2020-02-02, China, Belgium
2020-02-02, China, Belgium
2020-01-26, China, Singapore
2020-01-26, China, Singapore
2020-01-22, China, Singapore
2020-01-22, China, Singapore
2020-01-16, China, Singapore
2020-01-16, China, Singapore
2020-01-26, China, Singapore
2020-01-26, China, Singapore
2020-02-20, China, Singapore
2020-02-20, China, Singapore
2020-02-02, Singapore, China
2020-02-02, Singapore, China
2020-01-26, Singapore, Spain
2020-01-26, Singapore, Spain
2020-01-26, Singapore, Spain
2020-02-20, Spain, Greece
2020-02-20, Spain, Greece
2020-02-20, Spain, Greece
2020-02-20, Spain, Jordan
2020-02-20, Spain, Jordan
2020-02-20, Spain, Jordan
2020-02-22, Spain, Australia
2020-02-22, Spain, Australia
2020-02-22, Spain, Australia
2020-03-16, Spain, Portugal
2020-03-16, Spain, Portugal
2020-03-09, Spain, Mexico
2020-03-09, Spain, Mexico
2020-02-24, Spain, USA
2020-02-24, Spain, USA
2020-02-24, Spain, Chile
2020-02-24, Spain, Chile
2020-02-27, Spain, Mexico
2020-02-27, Spain, Mexico
2020-02-27, Spain, Uruguay
2020-02-27, Spain, Uruguay
2020-03-03, Mexico, Germany
2020-03-03, Mexico, Germany
2020-03-03, Mexico, Germany
2020-03-02, Uruguay, Colombia
2020-03-02, Uruguay, Colombia
2020-01-25, China, Malaysia
2020-01-25, China, Malaysia
2020-01-25, China, Thailand
2020-01-25, China, Thailand
2020-01-25, China, Spain
2020-01-25, China, Spain
2020-01-25, China, Spain
2020-02-22, Spain, Georgia
2020-02-22, Spain, Georgia
2020-02-22, Spain, Georgia
2020-02-22, Spain, Brazil
2020-02-22, Spain, Brazil
2020-02-22, Spain, USA
2020-02-22, Spain, USA
2020-02-22, Spain, Brazil
2020-02-22, Spain, Brazil
2020-02-22, Spain, France
2020-02-22, Spain, France
2020-02-22, Spain, France
2020-02-22, Spain, Netherlands
2020-02-22, Spain, Netherlands
2020-02-22, Spain, Netherlands
2020-03-06, Spain, Greece
2020-03-06, Spain, Greece
2020-03-06, Spain, Greece
2020-03-06, Spain, Brazil
2020-03-06, Spain, Brazil
2020-03-12, Brazil, Senegal
2020-03-12, Brazil, Senegal
2020-03-06, Spain, Belgium
2020-03-06, Spain, Belgium
2020-03-06, Spain, Belgium
2020-03-06, Spain, United Kingdom
2020-03-06, Spain, United Kingdom
2020-03-06, Spain, Australia
2020-03-06, Spain, Australia
2020-03-06, Spain, Australia
2020-03-09, Australia, USA
2020-03-09, Australia, USA
2020-02-27, Spain, Chile
2020-02-27, Spain, Chile
2020-03-01, Spain, Chile
2020-03-01, Spain, Chile
2020-03-01, Spain, Mexico
2020-03-01, Spain, Mexico
2020-03-04, Spain, Netherlands
2020-03-04, Spain, Netherlands
2020-03-04, Spain, Netherlands
2020-03-04, Spain, Chile
2020-03-04, Spain, Chile
2020-03-17, Netherlands, India
2020-03-17, Netherlands, India
2020-03-07, Chile, Kazakhstan
2020-03-07, Chile, Kazakhstan
2020-03-07, Chile, Kazakhstan
2020-01-28, China, Singapore
2020-01-28, China, Singapore
2020-01-18, China, USA
2020-01-18, China, USA
2020-01-22, China, Malaysia
2020-01-22, China, Malaysia
2020-01-21, China, Canada
2020-01-21, China, Canada
2020-01-22, Canada, USA
2020-01-22, Canada, USA
2020-03-04, Canada, Australia
2020-03-04, Canada, Australia
2020-03-04, Canada, USA
2020-03-04, Canada, USA
2020-01-25, USA, Canada
2020-01-25, USA, Canada
2020-01-25, USA, Canada
2020-01-25, USA, Canada
2020-02-15, USA, Canada
2020-02-15, USA, Canada
2020-03-05, Canada, Mexico
2020-03-05, Canada, Mexico
2020-03-09, USA, Australia
2020-03-09, USA, Australia
2020-02-28, USA, Australia
2020-02-28, USA, Australia
2020-03-01, USA, United Kingdom
2020-03-01, USA, United Kingdom
2020-02-24, Canada, USA
2020-02-24, Canada, USA
2020-02-24, USA, Canada
2020-02-24, USA, Canada
2020-02-24, USA, Canada
2020-02-24, USA, Canada
2020-02-24, USA, Costa Rica
2020-02-24, USA, Costa Rica
2020-02-24, USA, Australia
2020-02-24, USA, Australia
2020-02-24, USA, Uruguay
2020-02-24, USA, Uruguay
2020-02-24, USA, Mexico
2020-02-24, USA, Mexico
2020-03-01, USA, India
2020-03-01, USA, India
2020-03-01, USA, India
2020-03-01, USA, Canada
2020-03-01, USA, Canada
2020-03-01, USA, Australia
2020-03-01, USA, Australia
2020-03-17, USA, Australia
2020-03-17, USA, Australia
2020-03-17, USA, Taiwan
2020-03-17, USA, Taiwan
2020-03-05, USA, Australia
2020-03-05, USA, Australia
2020-03-08, Australia, USA
2020-03-08, Australia, USA
2020-03-08, USA, Australia
2020-03-08, USA, Australia
2020-03-16, Australia, USA
2020-03-16, Australia, USA
2020-03-15, USA, Singapore
2020-03-15, USA, Singapore
2020-03-04, USA, Canada
2020-03-04, USA, Canada
2020-03-05, USA, Canada
2020-03-05, USA, Canada
2020-03-02, USA, Canada
2020-03-02, USA, Canada
2020-03-15, USA, Australia
2020-03-15, USA, Australia
2020-03-08, USA, Australia
2020-03-08, USA, Australia
2020-03-12, USA, Canada
2020-03-12, USA, Canada
2020-03-05, USA, Canada
2020-03-05, USA, Canada
2020-01-28, China, USA
2020-01-28, China, USA
2020-01-16, China, United Kingdom
2020-01-16, China, United Kingdom
2020-01-16, China, United Kingdom
2020-01-22, China, Canada
2020-01-22, China, Canada
2020-01-20, China, USA
2020-01-20, China, USA
2020-01-25, China, Canada
2020-01-25, China, Canada
2020-01-25, China, Canada
2020-01-25, China, Canada
2020-01-21, China, Australia
2020-01-21, China, Australia
2020-01-22, China, United Kingdom
2020-01-22, China, United Kingdom
2020-01-22, China, United Kingdom
2020-01-25, China, Australia
2020-01-25, China, Australia
2020-01-16, China, Malaysia
2020-01-16, China, Malaysia
